"Step","object_C_fine - magic123/loss_total","object_C_fine - magic123/loss_total__MIN","object_C_fine - magic123/loss_total__MAX","object_C_coarse - magic123/loss_total","object_C_coarse - magic123/loss_total__MIN","object_C_coarse - magic123/loss_total__MAX"
"1","0.08134175091981888","0.08134175091981888","0.08134175091981888","1.0140937566757202","1.0140937566757202","1.0140937566757202"
"2","0.0763356015086174","0.0763356015086174","0.0763356015086174","1.0129660367965698","1.0129660367965698","1.0129660367965698"
"3","0.07289201021194458","0.07289201021194458","0.07289201021194458","1.015309453010559","1.015309453010559","1.015309453010559"
"4","0.07042185962200165","0.07042185962200165","0.07042185962200165","1.0114351511001587","1.0114351511001587","1.0114351511001587"
"5","0.0684608519077301","0.0684608519077301","0.0684608519077301","1.0098481178283691","1.0098481178283691","1.0098481178283691"
"6","0.06676174700260162","0.06676174700260162","0.06676174700260162","1.0185009241104126","1.0185009241104126","1.0185009241104126"
"7","0.06513766199350357","0.06513766199350357","0.06513766199350357","1.006330132484436","1.006330132484436","1.006330132484436"
"8","0.06368254125118256","0.06368254125118256","0.06368254125118256","1.0074666738510132","1.0074666738510132","1.0074666738510132"
"9","0.062394216656684875","0.062394216656684875","0.062394216656684875","1.0058581829071045","1.0058581829071045","1.0058581829071045"
"10","0.06119741126894951","0.06119741126894951","0.06119741126894951","1.005357027053833","1.005357027053833","1.005357027053833"
"11","0.06012291461229324","0.06012291461229324","0.06012291461229324","1.0078377723693848","1.0078377723693848","1.0078377723693848"
"12","0.05912886559963226","0.05912886559963226","0.05912886559963226","1.0026925802230835","1.0026925802230835","1.0026925802230835"
"13","0.05813733860850334","0.05813733860850334","0.05813733860850334","1.0005725622177124","1.0005725622177124","1.0005725622177124"
"14","0.05715988576412201","0.05715988576412201","0.05715988576412201","1.0109663009643555","1.0109663009643555","1.0109663009643555"
"15","0.056212641298770905","0.056212641298770905","0.056212641298770905","1.0013012886047363","1.0013012886047363","1.0013012886047363"
"16","0.05533352494239807","0.05533352494239807","0.05533352494239807","1.0001107454299927","1.0001107454299927","1.0001107454299927"
"17","0.054472360759973526","0.054472360759973526","0.054472360759973526","0.9941189289093018","0.9941189289093018","0.9941189289093018"
"18","0.0536552295088768","0.0536552295088768","0.0536552295088768","0.9938710331916809","0.9938710331916809","0.9938710331916809"
"19","0.052821725606918335","0.052821725606918335","0.052821725606918335","0.9939449429512024","0.9939449429512024","0.9939449429512024"
"20","0.051956526935100555","0.051956526935100555","0.051956526935100555","0.992161214351654","0.992161214351654","0.992161214351654"
"21","0.05119718611240387","0.05119718611240387","0.05119718611240387","0.9907879829406738","0.9907879829406738","0.9907879829406738"
"22","0.050468482077121735","0.050468482077121735","0.050468482077121735","0.9878340363502502","0.9878340363502502","0.9878340363502502"
"23","0.04975096136331558","0.04975096136331558","0.04975096136331558","0.9842340350151062","0.9842340350151062","0.9842340350151062"
"24","0.04903101921081543","0.04903101921081543","0.04903101921081543","0.986471951007843","0.986471951007843","0.986471951007843"
"25","0.048311688005924225","0.048311688005924225","0.048311688005924225","0.977905809879303","0.977905809879303","0.977905809879303"
"26","0.04750397428870201","0.04750397428870201","0.04750397428870201","0.9765939712524414","0.9765939712524414","0.9765939712524414"
"27","0.046839531511068344","0.046839531511068344","0.046839531511068344","0.9705752730369568","0.9705752730369568","0.9705752730369568"
"28","0.046192821115255356","0.046192821115255356","0.046192821115255356","0.9707506895065308","0.9707506895065308","0.9707506895065308"
"29","0.045624054968357086","0.045624054968357086","0.045624054968357086","0.9668354988098145","0.9668354988098145","0.9668354988098145"
"30","0.04507939890027046","0.04507939890027046","0.04507939890027046","0.9606378674507141","0.9606378674507141","0.9606378674507141"
"31","0.04454132914543152","0.04454132914543152","0.04454132914543152","0.9607697129249573","0.9607697129249573","0.9607697129249573"
"32","0.04404773563146591","0.04404773563146591","0.04404773563146591","0.9553200602531433","0.9553200602531433","0.9553200602531433"
"33","0.04358890652656555","0.04358890652656555","0.04358890652656555","0.9468126893043518","0.9468126893043518","0.9468126893043518"
"34","0.043101586401462555","0.043101586401462555","0.043101586401462555","0.9412225484848022","0.9412225484848022","0.9412225484848022"
"35","0.042627595365047455","0.042627595365047455","0.042627595365047455","0.922469973564148","0.922469973564148","0.922469973564148"
"36","0.04220384359359741","0.04220384359359741","0.04220384359359741","0.9243251085281372","0.9243251085281372","0.9243251085281372"
"37","0.04184474050998688","0.04184474050998688","0.04184474050998688","0.9147008657455444","0.9147008657455444","0.9147008657455444"
"38","0.041489578783512115","0.041489578783512115","0.041489578783512115","0.9084134697914124","0.9084134697914124","0.9084134697914124"
"39","0.0410873219370842","0.0410873219370842","0.0410873219370842","0.905728280544281","0.905728280544281","0.905728280544281"
"40","0.04074259474873543","0.04074259474873543","0.04074259474873543","0.8928572535514832","0.8928572535514832","0.8928572535514832"
"41","0.04041416198015213","0.04041416198015213","0.04041416198015213","0.8839478492736816","0.8839478492736816","0.8839478492736816"
"42","0.040126219391822815","0.040126219391822815","0.040126219391822815","0.8690606951713562","0.8690606951713562","0.8690606951713562"
"43","0.03983703628182411","0.03983703628182411","0.03983703628182411","0.8575656414031982","0.8575656414031982","0.8575656414031982"
"44","0.03956899791955948","0.03956899791955948","0.03956899791955948","0.8511118292808533","0.8511118292808533","0.8511118292808533"
"45","0.039290234446525574","0.039290234446525574","0.039290234446525574","0.8386204242706299","0.8386204242706299","0.8386204242706299"
"46","0.03905449062585831","0.03905449062585831","0.03905449062585831","0.8249096274375916","0.8249096274375916","0.8249096274375916"
"47","0.038809869438409805","0.038809869438409805","0.038809869438409805","0.8093924522399902","0.8093924522399902","0.8093924522399902"
"48","0.03860991820693016","0.03860991820693016","0.03860991820693016","0.7956548929214478","0.7956548929214478","0.7956548929214478"
"49","0.038383450359106064","0.038383450359106064","0.038383450359106064","0.762718915939331","0.762718915939331","0.762718915939331"
"50","0.038176942616701126","0.038176942616701126","0.038176942616701126","0.7541906237602234","0.7541906237602234","0.7541906237602234"
