"Step","object_B - dreamfusion/loss_sds","object_B - dreamfusion/loss_sds__MIN","object_B - dreamfusion/loss_sds__MAX"
"0","7521.833984375","7521.833984375","7521.833984375"
"1","448.31304931640625","448.31304931640625","448.31304931640625"
"2","5099.91650390625","5099.91650390625","5099.91650390625"
"3","66.4315185546875","66.4315185546875","66.4315185546875"
"4","21.406494140625","21.406494140625","21.406494140625"
"5","21.250518798828125","21.250518798828125","21.250518798828125"
"6","469.9652099609375","469.9652099609375","469.9652099609375"
"7","31.941282272338867","31.941282272338867","31.941282272338867"
"8","293.00238037109375","293.00238037109375","293.00238037109375"
"9","1685.4132080078125","1685.4132080078125","1685.4132080078125"
"10","36.42426681518555","36.42426681518555","36.42426681518555"
"11","3488.359375","3488.359375","3488.359375"
"12","68.2915267944336","68.2915267944336","68.2915267944336"
"13","494.2628173828125","494.2628173828125","494.2628173828125"
"14","1273.605224609375","1273.605224609375","1273.605224609375"
"15","8226.8271484375","8226.8271484375","8226.8271484375"
"16","1359.9776611328125","1359.9776611328125","1359.9776611328125"
"17","1009.2021484375","1009.2021484375","1009.2021484375"
"18","265.5447998046875","265.5447998046875","265.5447998046875"
"19","87.59872436523438","87.59872436523438","87.59872436523438"
"20","174.18881225585938","174.18881225585938","174.18881225585938"
"21","5787.71875","5787.71875","5787.71875"
"22","397.46826171875","397.46826171875","397.46826171875"
"23","1555.169189453125","1555.169189453125","1555.169189453125"
"24","1708.373779296875","1708.373779296875","1708.373779296875"
"25","12588.955078125","12588.955078125","12588.955078125"
"26","74.24588775634766","74.24588775634766","74.24588775634766"
"27","7756.6025390625","7756.6025390625","7756.6025390625"
"28","7285.2080078125","7285.2080078125","7285.2080078125"
"29","1581.644775390625","1581.644775390625","1581.644775390625"
"30","7516.708984375","7516.708984375","7516.708984375"
"31","736.1256103515625","736.1256103515625","736.1256103515625"
"32","6269.6484375","6269.6484375","6269.6484375"
"33","642.84033203125","642.84033203125","642.84033203125"
"34","48.69263458251953","48.69263458251953","48.69263458251953"
"35","23283.1875","23283.1875","23283.1875"
"36","1.8851518630981445","1.8851518630981445","1.8851518630981445"
"37","3.7170023918151855","3.7170023918151855","3.7170023918151855"
"38","1807.0069580078125","1807.0069580078125","1807.0069580078125"
"39","281.35552978515625","281.35552978515625","281.35552978515625"
"40","2282.650390625","2282.650390625","2282.650390625"
"41","10302.1953125","10302.1953125","10302.1953125"
"42","2684.080322265625","2684.080322265625","2684.080322265625"
"43","5862.39453125","5862.39453125","5862.39453125"
"44","1326.0859375","1326.0859375","1326.0859375"
"45","7472.9404296875","7472.9404296875","7472.9404296875"
"46","1340.4814453125","1340.4814453125","1340.4814453125"
"47","413.3806457519531","413.3806457519531","413.3806457519531"
"48","20176.533203125","20176.533203125","20176.533203125"
"49","88.72229766845703","88.72229766845703","88.72229766845703"
"50","3024.1962890625","3024.1962890625","3024.1962890625"
"51","1.0889043807983398","1.0889043807983398","1.0889043807983398"
"52","626.4400024414062","626.4400024414062","626.4400024414062"
"53","4.126826286315918","4.126826286315918","4.126826286315918"
"54","3265.08935546875","3265.08935546875","3265.08935546875"
"55","111.40135192871094","111.40135192871094","111.40135192871094"
"56","5245.44140625","5245.44140625","5245.44140625"
"57","3037.29541015625","3037.29541015625","3037.29541015625"
"58","1299.13427734375","1299.13427734375","1299.13427734375"
"59","2000.6611328125","2000.6611328125","2000.6611328125"
"60","10.860605239868164","10.860605239868164","10.860605239868164"
"61","5.7118916511535645","5.7118916511535645","5.7118916511535645"
"62","781.2872924804688","781.2872924804688","781.2872924804688"
"63","1307.7646484375","1307.7646484375","1307.7646484375"
"64","591.1881103515625","591.1881103515625","591.1881103515625"
"65","192.78610229492188","192.78610229492188","192.78610229492188"
"66","4792.29296875","4792.29296875","4792.29296875"
"67","2729.10986328125","2729.10986328125","2729.10986328125"
"68","6849.64697265625","6849.64697265625","6849.64697265625"
"69","4103.9501953125","4103.9501953125","4103.9501953125"
"70","174.54241943359375","174.54241943359375","174.54241943359375"
