"Step","object_B - dreamfusion/loss_sparsity","object_B - dreamfusion/loss_sparsity__MIN","object_B - dreamfusion/loss_sparsity__MAX"
"0","0.258396178483963","0.258396178483963","0.258396178483963"
"1","0.22032058238983154","0.22032058238983154","0.22032058238983154"
"2","0.18071049451828003","0.18071049451828003","0.18071049451828003"
"3","0.26224803924560547","0.26224803924560547","0.26224803924560547"
"4","0.2364371418952942","0.2364371418952942","0.2364371418952942"
"5","0.18454809486865997","0.18454809486865997","0.18454809486865997"
"6","0.2916746139526367","0.2916746139526367","0.2916746139526367"
"7","0.2304498255252838","0.2304498255252838","0.2304498255252838"
"8","0.23443906009197235","0.23443906009197235","0.23443906009197235"
"9","0.24633380770683289","0.24633380770683289","0.24633380770683289"
"10","0.5774998664855957","0.5774998664855957","0.5774998664855957"
"11","0.35506218671798706","0.35506218671798706","0.35506218671798706"
"12","0.22481390833854675","0.22481390833854675","0.22481390833854675"
"13","0.23694506287574768","0.23694506287574768","0.23694506287574768"
"14","0.2454172670841217","0.2454172670841217","0.2454172670841217"
"15","0.30989086627960205","0.30989086627960205","0.30989086627960205"
"16","0.3145497441291809","0.3145497441291809","0.3145497441291809"
"17","0.25867074728012085","0.25867074728012085","0.25867074728012085"
"18","0.3554184138774872","0.3554184138774872","0.3554184138774872"
"19","0.258849561214447","0.258849561214447","0.258849561214447"
"20","0.3020077645778656","0.3020077645778656","0.3020077645778656"
"21","0.21918609738349915","0.21918609738349915","0.21918609738349915"
"22","0.2824881374835968","0.2824881374835968","0.2824881374835968"
"23","0.4359620213508606","0.4359620213508606","0.4359620213508606"
"24","0.3046477735042572","0.3046477735042572","0.3046477735042572"
"25","0.26132750511169434","0.26132750511169434","0.26132750511169434"
"26","0.22491389513015747","0.22491389513015747","0.22491389513015747"
"27","0.27832722663879395","0.27832722663879395","0.27832722663879395"
"28","0.23378190398216248","0.23378190398216248","0.23378190398216248"
"29","0.22419315576553345","0.22419315576553345","0.22419315576553345"
"30","0.2447802722454071","0.2447802722454071","0.2447802722454071"
"31","0.35626429319381714","0.35626429319381714","0.35626429319381714"
"32","0.3217238187789917","0.3217238187789917","0.3217238187789917"
"33","0.33073726296424866","0.33073726296424866","0.33073726296424866"
"34","0.2688421607017517","0.2688421607017517","0.2688421607017517"
"35","0.30184096097946167","0.30184096097946167","0.30184096097946167"
"36","0.4084748923778534","0.4084748923778534","0.4084748923778534"
"37","0.21592822670936584","0.21592822670936584","0.21592822670936584"
"38","0.23618526756763458","0.23618526756763458","0.23618526756763458"
"39","0.18484531342983246","0.18484531342983246","0.18484531342983246"
"40","0.32483816146850586","0.32483816146850586","0.32483816146850586"
"41","0.42527705430984497","0.42527705430984497","0.42527705430984497"
"42","0.1853073537349701","0.1853073537349701","0.1853073537349701"
"43","0.3044147789478302","0.3044147789478302","0.3044147789478302"
"44","0.31363317370414734","0.31363317370414734","0.31363317370414734"
"45","0.3345921039581299","0.3345921039581299","0.3345921039581299"
"46","0.3264065384864807","0.3264065384864807","0.3264065384864807"
"47","0.2977215647697449","0.2977215647697449","0.2977215647697449"
"48","0.19517120718955994","0.19517120718955994","0.19517120718955994"
"49","0.28903138637542725","0.28903138637542725","0.28903138637542725"
"50","0.25467535853385925","0.25467535853385925","0.25467535853385925"
"51","0.1719835251569748","0.1719835251569748","0.1719835251569748"
"52","0.3422333002090454","0.3422333002090454","0.3422333002090454"
"53","0.20349395275115967","0.20349395275115967","0.20349395275115967"
"54","0.25694161653518677","0.25694161653518677","0.25694161653518677"
"55","0.23554138839244843","0.23554138839244843","0.23554138839244843"
"56","0.20995396375656128","0.20995396375656128","0.20995396375656128"
"57","0.2586926221847534","0.2586926221847534","0.2586926221847534"
"58","0.3871524930000305","0.3871524930000305","0.3871524930000305"
"59","0.44477126002311707","0.44477126002311707","0.44477126002311707"
"60","0.28294432163238525","0.28294432163238525","0.28294432163238525"
"61","0.29870766401290894","0.29870766401290894","0.29870766401290894"
"62","0.2751345634460449","0.2751345634460449","0.2751345634460449"
"63","0.21792998909950256","0.21792998909950256","0.21792998909950256"
"64","0.2349471151828766","0.2349471151828766","0.2349471151828766"
"65","0.17360535264015198","0.17360535264015198","0.17360535264015198"
"66","0.2293698489665985","0.2293698489665985","0.2293698489665985"
"67","0.38766640424728394","0.38766640424728394","0.38766640424728394"
"68","0.21147283911705017","0.21147283911705017","0.21147283911705017"
"69","0.1766643524169922","0.1766643524169922","0.1766643524169922"
"70","0.2439541220664978","0.2439541220664978","0.2439541220664978"
"71","0.3151623606681824","0.3151623606681824","0.3151623606681824"
"72","0.24364903569221497","0.24364903569221497","0.24364903569221497"
"73","0.4501959979534149","0.4501959979534149","0.4501959979534149"
"74","0.34625133872032166","0.34625133872032166","0.34625133872032166"
"75","0.34749770164489746","0.34749770164489746","0.34749770164489746"
"76","0.251564621925354","0.251564621925354","0.251564621925354"
"77","0.27581787109375","0.27581787109375","0.27581787109375"
"78","0.2691115140914917","0.2691115140914917","0.2691115140914917"
"79","0.2804085612297058","0.2804085612297058","0.2804085612297058"
"80","0.28555426001548767","0.28555426001548767","0.28555426001548767"
"81","0.2616834044456482","0.2616834044456482","0.2616834044456482"
"82","0.20198486745357513","0.20198486745357513","0.20198486745357513"
"83","0.22741182148456573","0.22741182148456573","0.22741182148456573"
"84","0.20533758401870728","0.20533758401870728","0.20533758401870728"
"85","0.29249823093414307","0.29249823093414307","0.29249823093414307"
"86","0.27123934030532837","0.27123934030532837","0.27123934030532837"
"87","0.2948973774909973","0.2948973774909973","0.2948973774909973"
"88","0.3034604787826538","0.3034604787826538","0.3034604787826538"
"89","0.16741293668746948","0.16741293668746948","0.16741293668746948"
"90","0.19081950187683105","0.19081950187683105","0.19081950187683105"
"91","0.3091967701911926","0.3091967701911926","0.3091967701911926"
"92","0.31819072365760803","0.31819072365760803","0.31819072365760803"
"93","0.2767626941204071","0.2767626941204071","0.2767626941204071"
"94","0.2919880151748657","0.2919880151748657","0.2919880151748657"
"95","0.2837132513523102","0.2837132513523102","0.2837132513523102"
"96","0.21746128797531128","0.21746128797531128","0.21746128797531128"
"97","0.23456962406635284","0.23456962406635284","0.23456962406635284"
"98","0.18443815410137177","0.18443815410137177","0.18443815410137177"
"99","0.3295097351074219","0.3295097351074219","0.3295097351074219"
"100","0.2951745092868805","0.2951745092868805","0.2951745092868805"
"101","0.2972874939441681","0.2972874939441681","0.2972874939441681"
"102","0.28371089696884155","0.28371089696884155","0.28371089696884155"
"103","0.31648534536361694","0.31648534536361694","0.31648534536361694"
"104","0.1904609203338623","0.1904609203338623","0.1904609203338623"
"105","0.2494889795780182","0.2494889795780182","0.2494889795780182"
"106","0.19212788343429565","0.19212788343429565","0.19212788343429565"
"107","0.272779643535614","0.272779643535614","0.272779643535614"
"108","0.458452433347702","0.458452433347702","0.458452433347702"
"109","0.391497403383255","0.391497403383255","0.391497403383255"
"110","0.2604365050792694","0.2604365050792694","0.2604365050792694"
"111","0.23281708359718323","0.23281708359718323","0.23281708359718323"
"112","0.41279780864715576","0.41279780864715576","0.41279780864715576"
"113","0.19259148836135864","0.19259148836135864","0.19259148836135864"
"114","0.3907451033592224","0.3907451033592224","0.3907451033592224"
"115","0.19518280029296875","0.19518280029296875","0.19518280029296875"
"116","0.282200425863266","0.282200425863266","0.282200425863266"
"117","0.2008049190044403","0.2008049190044403","0.2008049190044403"
"118","0.27958494424819946","0.27958494424819946","0.27958494424819946"
"119","0.3227682113647461","0.3227682113647461","0.3227682113647461"
"120","0.21056926250457764","0.21056926250457764","0.21056926250457764"
"121","0.30597466230392456","0.30597466230392456","0.30597466230392456"
"122","0.18503278493881226","0.18503278493881226","0.18503278493881226"
"123","0.35771313309669495","0.35771313309669495","0.35771313309669495"
"124","0.19714418053627014","0.19714418053627014","0.19714418053627014"
"125","0.19053979218006134","0.19053979218006134","0.19053979218006134"
"126","0.2113163322210312","0.2113163322210312","0.2113163322210312"
"127","0.22231078147888184","0.22231078147888184","0.22231078147888184"
"128","0.24725228548049927","0.24725228548049927","0.24725228548049927"
"129","0.35201728343963623","0.35201728343963623","0.35201728343963623"
"130","0.2870209515094757","0.2870209515094757","0.2870209515094757"
"131","0.27303215861320496","0.27303215861320496","0.27303215861320496"
"132","0.5309286117553711","0.5309286117553711","0.5309286117553711"
"133","0.41338592767715454","0.41338592767715454","0.41338592767715454"
"134","0.3988592028617859","0.3988592028617859","0.3988592028617859"
"135","0.23852723836898804","0.23852723836898804","0.23852723836898804"
"136","0.3387218415737152","0.3387218415737152","0.3387218415737152"
"137","0.2761581540107727","0.2761581540107727","0.2761581540107727"
"138","0.2917274236679077","0.2917274236679077","0.2917274236679077"
"139","0.23051506280899048","0.23051506280899048","0.23051506280899048"
"140","0.1949222981929779","0.1949222981929779","0.1949222981929779"
"141","0.2608269453048706","0.2608269453048706","0.2608269453048706"
"142","0.28007012605667114","0.28007012605667114","0.28007012605667114"
"143","0.44546177983283997","0.44546177983283997","0.44546177983283997"
"144","0.17172889411449432","0.17172889411449432","0.17172889411449432"
"145","0.2835485339164734","0.2835485339164734","0.2835485339164734"
"146","0.319538950920105","0.319538950920105","0.319538950920105"
"147","0.22943252325057983","0.22943252325057983","0.22943252325057983"
"148","0.22474901378154755","0.22474901378154755","0.22474901378154755"
"149","0.3519103527069092","0.3519103527069092","0.3519103527069092"
"150","0.24799208343029022","0.24799208343029022","0.24799208343029022"
"151","0.270956426858902","0.270956426858902","0.270956426858902"
"152","0.28742074966430664","0.28742074966430664","0.28742074966430664"
"153","0.20995692908763885","0.20995692908763885","0.20995692908763885"
