"Step","background_garden - twodgs/loss_total","background_garden - twodgs/loss_total__MIN","background_garden - twodgs/loss_total__MAX","object_A - twodgs/loss_total","object_A - twodgs/loss_total__MIN","object_A - twodgs/loss_total__MAX"
"1","0.27919262647628784","0.27919262647628784","0.27919262647628784","0.06324095278978348","0.06324095278978348","0.06324095278978348"
"2","0.33319830894470215","0.33319830894470215","0.33319830894470215","0.058444272726774216","0.058444272726774216","0.058444272726774216"
"3","0.26863446831703186","0.26863446831703186","0.26863446831703186","0.09680674225091934","0.09680674225091934","0.09680674225091934"
"4","0.3236300051212311","0.3236300051212311","0.3236300051212311","0.09024477750062943","0.09024477750062943","0.09024477750062943"
"5","0.3264434337615967","0.3264434337615967","0.3264434337615967","0.09068397432565689","0.09068397432565689","0.09068397432565689"
"6","0.27189189195632935","0.27189189195632935","0.27189189195632935","0.07772835344076157","0.07772835344076157","0.07772835344076157"
"7","0.3144475221633911","0.3144475221633911","0.3144475221633911","0.0752524808049202","0.0752524808049202","0.0752524808049202"
"8","0.2786194980144501","0.2786194980144501","0.2786194980144501","0.09174533933401108","0.09174533933401108","0.09174533933401108"
"9","0.3548961877822876","0.3548961877822876","0.3548961877822876","0.058688461780548096","0.058688461780548096","0.058688461780548096"
"10","0.31738561391830444","0.31738561391830444","0.31738561391830444","0.03612801805138588","0.03612801805138588","0.03612801805138588"
"11","0.24676156044006348","0.24676156044006348","0.24676156044006348","0.06050937622785568","0.06050937622785568","0.06050937622785568"
"12","0.2928273677825928","0.2928273677825928","0.2928273677825928","0.08567565679550171","0.08567565679550171","0.08567565679550171"
"13","0.29792892932891846","0.29792892932891846","0.29792892932891846","0.08360946178436279","0.08360946178436279","0.08360946178436279"
"14","0.2819353938102722","0.2819353938102722","0.2819353938102722","0.07224905490875244","0.07224905490875244","0.07224905490875244"
"15","0.28669652342796326","0.28669652342796326","0.28669652342796326","0.10296425968408585","0.10296425968408585","0.10296425968408585"
"16","0.23612746596336365","0.23612746596336365","0.23612746596336365","0.08315171301364899","0.08315171301364899","0.08315171301364899"
"17","0.23594534397125244","0.23594534397125244","0.23594534397125244","0.03188518434762955","0.03188518434762955","0.03188518434762955"
"18","0.2795664668083191","0.2795664668083191","0.2795664668083191","0.09970299899578094","0.09970299899578094","0.09970299899578094"
