"Step","object_B - dreamfusion/loss_orient","object_B - dreamfusion/loss_orient__MIN","object_B - dreamfusion/loss_orient__MAX"
"0","0.016750473529100418","0.016750473529100418","0.016750473529100418"
"1","0.016152381896972656","0.016152381896972656","0.016152381896972656"
"2","0.016823524609208107","0.016823524609208107","0.016823524609208107"
"3","0.016998419538140297","0.016998419538140297","0.016998419538140297"
"4","0.01673642173409462","0.01673642173409462","0.01673642173409462"
"5","0.016546444967389107","0.016546444967389107","0.016546444967389107"
"6","0.020029274746775627","0.020029274746775627","0.020029274746775627"
"7","0.01675238460302353","0.01675238460302353","0.01675238460302353"
"8","0.018489038571715355","0.018489038571715355","0.018489038571715355"
"9","0.0217614583671093","0.0217614583671093","0.0217614583671093"
"10","0.02388283982872963","0.02388283982872963","0.02388283982872963"
"11","0.017828745767474174","0.017828745767474174","0.017828745767474174"
"12","0.01691347360610962","0.01691347360610962","0.01691347360610962"
"13","0.015992140397429466","0.015992140397429466","0.015992140397429466"
"14","0.01697406731545925","0.01697406731545925","0.01697406731545925"
"15","0.018355876207351685","0.018355876207351685","0.018355876207351685"
"16","0.018731629475951195","0.018731629475951195","0.018731629475951195"
"17","0.017131702974438667","0.017131702974438667","0.017131702974438667"
"18","0.019876137375831604","0.019876137375831604","0.019876137375831604"
"19","0.01718331128358841","0.01718331128358841","0.01718331128358841"
"20","0.017278095707297325","0.017278095707297325","0.017278095707297325"
"21","0.01662410981953144","0.01662410981953144","0.01662410981953144"
"22","0.022871023043990135","0.022871023043990135","0.022871023043990135"
"23","0.020781727507710457","0.020781727507710457","0.020781727507710457"
"24","0.019758714362978935","0.019758714362978935","0.019758714362978935"
"25","0.016868900507688522","0.016868900507688522","0.016868900507688522"
"26","0.016837021335959435","0.016837021335959435","0.016837021335959435"
"27","0.023856472223997116","0.023856472223997116","0.023856472223997116"
"28","0.017583047971129417","0.017583047971129417","0.017583047971129417"
"29","0.017202306538820267","0.017202306538820267","0.017202306538820267"
"30","0.01776622049510479","0.01776622049510479","0.01776622049510479"
"31","0.021573375910520554","0.021573375910520554","0.021573375910520554"
"32","0.019016342237591743","0.019016342237591743","0.019016342237591743"
"33","0.017267365008592606","0.017267365008592606","0.017267365008592606"
"34","0.020170779898762703","0.020170779898762703","0.020170779898762703"
"35","0.018240464851260185","0.018240464851260185","0.018240464851260185"
"36","0.01920461468398571","0.01920461468398571","0.01920461468398571"
"37","0.016964150592684746","0.016964150592684746","0.016964150592684746"
"38","0.017036758363246918","0.017036758363246918","0.017036758363246918"
"39","0.01734456978738308","0.01734456978738308","0.01734456978738308"
"40","0.02051892876625061","0.02051892876625061","0.02051892876625061"
"41","0.018339820206165314","0.018339820206165314","0.018339820206165314"
"42","0.017464177682995796","0.017464177682995796","0.017464177682995796"
"43","0.019596204161643982","0.019596204161643982","0.019596204161643982"
"44","0.01900620572268963","0.01900620572268963","0.01900620572268963"
"45","0.01883368380367756","0.01883368380367756","0.01883368380367756"
"46","0.02026977203786373","0.02026977203786373","0.02026977203786373"
"47","0.018413562327623367","0.018413562327623367","0.018413562327623367"
"48","0.017274273559451103","0.017274273559451103","0.017274273559451103"
"49","0.02449493110179901","0.02449493110179901","0.02449493110179901"
"50","0.017393846064805984","0.017393846064805984","0.017393846064805984"
"51","0.018030954524874687","0.018030954524874687","0.018030954524874687"
"52","0.020080793648958206","0.020080793648958206","0.020080793648958206"
"53","0.017723390832543373","0.017723390832543373","0.017723390832543373"
"54","0.018055053427815437","0.018055053427815437","0.018055053427815437"
"55","0.017669057473540306","0.017669057473540306","0.017669057473540306"
"56","0.01785653457045555","0.01785653457045555","0.01785653457045555"
"57","0.017856193706393242","0.017856193706393242","0.017856193706393242"
"58","0.019808774814009666","0.019808774814009666","0.019808774814009666"
