"Step","background_garden - twodgs/eval_psnr","background_garden - twodgs/eval_psnr__MIN","background_garden - twodgs/eval_psnr__MAX","object_A - twodgs/eval_psnr","object_A - twodgs/eval_psnr__MIN","object_A - twodgs/eval_psnr__MAX"
"2000","24.12615966796875","24.12615966796875","24.12615966796875","31.87767791748047","31.87767791748047","31.87767791748047"
"4000","25.055675506591797","25.055675506591797","25.055675506591797","34.47969055175781","34.47969055175781","34.47969055175781"
"6000","26.632673263549805","26.632673263549805","26.632673263549805","35.576332092285156","35.576332092285156","35.576332092285156"
"8000","26.522687911987305","26.522687911987305","26.522687911987305","35.69717025756836","35.69717025756836","35.69717025756836"
"10000","26.683673858642578","26.683673858642578","26.683673858642578","36.12236404418945","36.12236404418945","36.12236404418945"
