"Step","object_B - dreamfusion/loss_opaque","object_B - dreamfusion/loss_opaque__MIN","object_B - dreamfusion/loss_opaque__MAX"
"0","0.16493964195251465","0.16493964195251465","0.16493964195251465"
"1","0.12971389293670654","0.12971389293670654","0.12971389293670654"
"2","0.08736889064311981","0.08736889064311981","0.08736889064311981"
"3","0.16636568307876587","0.16636568307876587","0.16636568307876587"
"4","0.1444225013256073","0.1444225013256073","0.1444225013256073"
"5","0.09159945696592331","0.09159945696592331","0.09159945696592331"
"6","0.16507761180400848","0.16507761180400848","0.16507761180400848"
"7","0.13642826676368713","0.13642826676368713","0.13642826676368713"
"8","0.13562822341918945","0.13562822341918945","0.13562822341918945"
"9","0.11047299206256866","0.11047299206256866","0.11047299206256866"
"10","0.4181286096572876","0.4181286096572876","0.4181286096572876"
"11","0.2547484040260315","0.2547484040260315","0.2547484040260315"
"12","0.13273626565933228","0.13273626565933228","0.13273626565933228"
"13","0.14720243215560913","0.14720243215560913","0.14720243215560913"
"14","0.15225732326507568","0.15225732326507568","0.15225732326507568"
"15","0.21223537623882294","0.21223537623882294","0.21223537623882294"
"16","0.20984478294849396","0.20984478294849396","0.20984478294849396"
"17","0.1680392622947693","0.1680392622947693","0.1680392622947693"
"18","0.24329882860183716","0.24329882860183716","0.24329882860183716"
"19","0.170016810297966","0.170016810297966","0.170016810297966"
"20","0.21039935946464539","0.21039935946464539","0.21039935946464539"
"21","0.12882882356643677","0.12882882356643677","0.12882882356643677"
"22","0.15230941772460938","0.15230941772460938","0.15230941772460938"
"23","0.3103272020816803","0.3103272020816803","0.3103272020816803"
"24","0.19349467754364014","0.19349467754364014","0.19349467754364014"
"25","0.17006951570510864","0.17006951570510864","0.17006951570510864"
"26","0.1336403787136078","0.1336403787136078","0.1336403787136078"
"27","0.13826386630535126","0.13826386630535126","0.13826386630535126"
"28","0.14089412987232208","0.14089412987232208","0.14089412987232208"
"29","0.13150398433208466","0.13150398433208466","0.13150398433208466"
"30","0.15299876034259796","0.15299876034259796","0.15299876034259796"
"31","0.20090052485466003","0.20090052485466003","0.20090052485466003"
"32","0.2191794216632843","0.2191794216632843","0.2191794216632843"
"33","0.23721545934677124","0.23721545934677124","0.23721545934677124"
