"Step","background_garden - twodgs/eval_l1_loss","background_garden - twodgs/eval_l1_loss__MIN","background_garden - twodgs/eval_l1_loss__MAX","object_A - twodgs/eval_l1_loss","object_A - twodgs/eval_l1_loss__MIN","object_A - twodgs/eval_l1_loss__MAX"
"2000","0.04241734743118286","0.04241734743118286","0.04241734743118286","0.007141584530472755","0.007141584530472755","0.007141584530472755"
"4000","0.036306921392679214","0.036306921392679214","0.036306921392679214","0.004834907595068216","0.004834907595068216","0.004834907595068216"
"6000","0.030481919646263123","0.030481919646263123","0.030481919646263123","0.004337791353464127","0.004337791353464127","0.004337791353464127"
"8000","0.0311895702034235","0.0311895702034235","0.0311895702034235","0.004145017359405756","0.004145017359405756","0.004145017359405756"
"10000","0.030504286289215088","0.030504286289215088","0.030504286289215088","0.003911301493644714","0.003911301493644714","0.003911301493644714"
