"Step","object_C_fine - magic123/loss_mask","object_C_fine - magic123/loss_mask__MIN","object_C_fine - magic123/loss_mask__MAX","object_C_coarse - magic123/loss_mask","object_C_coarse - magic123/loss_mask__MIN","object_C_coarse - magic123/loss_mask__MAX"
"1","0.028620276600122452","0.028620276600122452","0.028620276600122452","0.6965270042419434","0.6965270042419434","0.6965270042419434"
"2","0.028577914461493492","0.028577914461493492","0.028577914461493492","0.6956680417060852","0.6956680417060852","0.6956680417060852"
"3","0.028530584648251534","0.028530584648251534","0.028530584648251534","0.6973769068717957","0.6973769068717957","0.6973769068717957"
"4","0.02846950851380825","0.02846950851380825","0.02846950851380825","0.694797694683075","0.694797694683075","0.694797694683075"
"5","0.028410779312253","0.028410779312253","0.028410779312253","0.6933791041374207","0.6933791041374207","0.6933791041374207"
"6","0.02835986204445362","0.02835986204445362","0.02835986204445362","0.7005538940429688","0.7005538940429688","0.7005538940429688"
"7","0.028231237083673477","0.028231237083673477","0.028231237083673477","0.6919012069702148","0.6919012069702148","0.6919012069702148"
"8","0.028142111375927925","0.028142111375927925","0.028142111375927925","0.6920212507247925","0.6920212507247925","0.6920212507247925"
"9","0.02806529402732849","0.02806529402732849","0.02806529402732849","0.691592812538147","0.691592812538147","0.691592812538147"
"10","0.027955742552876472","0.027955742552876472","0.027955742552876472","0.6907395124435425","0.6907395124435425","0.6907395124435425"
"11","0.027894936501979828","0.027894936501979828","0.027894936501979828","0.6929128766059875","0.6929128766059875","0.6929128766059875"
"12","0.02786380983889103","0.02786380983889103","0.02786380983889103","0.6892203092575073","0.6892203092575073","0.6892203092575073"
"13","0.02781190350651741","0.02781190350651741","0.02781190350651741","0.6876703500747681","0.6876703500747681","0.6876703500747681"
"14","0.027752313762903214","0.027752313762903214","0.027752313762903214","0.6966990232467651","0.6966990232467651","0.6966990232467651"
"15","0.027685090899467468","0.027685090899467468","0.027685090899467468","0.68911212682724","0.68911212682724","0.68911212682724"
"16","0.027648191899061203","0.027648191899061203","0.027648191899061203","0.6879621744155884","0.6879621744155884","0.6879621744155884"
"17","0.02759462594985962","0.02759462594985962","0.02759462594985962","0.6826539039611816","0.6826539039611816","0.6826539039611816"
"18","0.02755589783191681","0.02755589783191681","0.02755589783191681","0.6831965446472168","0.6831965446472168","0.6831965446472168"
"19","0.027475759387016296","0.027475759387016296","0.027475759387016296","0.6823137998580933","0.6823137998580933","0.6823137998580933"
"20","0.027342181652784348","0.027342181652784348","0.027342181652784348","0.6817879676818848","0.6817879676818848","0.6817879676818848"
"21","0.02729218639433384","0.02729218639433384","0.02729218639433384","0.6815872192382812","0.6815872192382812","0.6815872192382812"
"22","0.02723367139697075","0.02723367139697075","0.02723367139697075","0.6788755655288696","0.6788755655288696","0.6788755655288696"
"23","0.02719229832291603","0.02719229832291603","0.02719229832291603","0.6768503189086914","0.6768503189086914","0.6768503189086914"
"24","0.02712232433259487","0.02712232433259487","0.02712232433259487","0.6783124804496765","0.6783124804496765","0.6783124804496765"
"25","0.02703716978430748","0.02703716978430748","0.02703716978430748","0.6727283596992493","0.6727283596992493","0.6727283596992493"
"26","0.026849744841456413","0.026849744841456413","0.026849744841456413","0.6721720099449158","0.6721720099449158","0.6721720099449158"
"27","0.026777934283018112","0.026777934283018112","0.026777934283018112","0.6678967475891113","0.6678967475891113","0.6678967475891113"
"28","0.026690904051065445","0.026690904051065445","0.026690904051065445","0.6689143180847168","0.6689143180847168","0.6689143180847168"
"29","0.02664160542190075","0.02664160542190075","0.02664160542190075","0.6657228469848633","0.6657228469848633","0.6657228469848633"
"30","0.026577819138765335","0.026577819138765335","0.026577819138765335","0.662297248840332","0.662297248840332","0.662297248840332"
"31","0.02649170160293579","0.02649170160293579","0.02649170160293579","0.6623687148094177","0.6623687148094177","0.6623687148094177"
"32","0.026425689458847046","0.026425689458847046","0.026425689458847046","0.6581398844718933","0.6581398844718933","0.6581398844718933"
"33","0.02637849748134613","0.02637849748134613","0.02637849748134613","0.6517132520675659","0.6517132520675659","0.6517132520675659"
"34","0.02629176154732704","0.02629176154732704","0.02629176154732704","0.6475965976715088","0.6475965976715088","0.6475965976715088"
"35","0.02619360014796257","0.02619360014796257","0.02619360014796257","0.6339532136917114","0.6339532136917114","0.6339532136917114"
"36","0.026127006858587265","0.026127006858587265","0.026127006858587265","0.6352209448814392","0.6352209448814392","0.6352209448814392"
