"Step","object_C_fine - magic123/loss_rgb","object_C_fine - magic123/loss_rgb__MIN","object_C_fine - magic123/loss_rgb__MAX","object_C_coarse - magic123/loss_rgb","object_C_coarse - magic123/loss_rgb__MIN","object_C_coarse - magic123/loss_rgb__MAX"
"1","0.03937765955924988","0.03937765955924988","0.03937765955924988","0.3122989535331726","0.3122989535331726","0.3122989535331726"
"2","0.0344727486371994","0.0344727486371994","0.0344727486371994","0.31203657388687134","0.31203657388687134","0.31203657388687134"
"3","0.031126081943511963","0.031126081943511963","0.031126081943511963","0.31267911195755005","0.31267911195755005","0.31267911195755005"
"4","0.028766563162207603","0.028766563162207603","0.028766563162207603","0.311382919549942","0.311382919549942","0.311382919549942"
"5","0.026913782581686974","0.026913782581686974","0.026913782581686974","0.3112039864063263","0.3112039864063263","0.3112039864063263"
"6","0.0253150574862957","0.0253150574862957","0.0253150574862957","0.31273093819618225","0.31273093819618225","0.31273093819618225"
"7","0.023869019001722336","0.023869019001722336","0.023869019001722336","0.30917149782180786","0.30917149782180786","0.30917149782180786"
"8","0.022552436217665672","0.022552436217665672","0.022552436217665672","0.31020140647888184","0.31020140647888184","0.31020140647888184"
"9","0.02139030396938324","0.02139030396938324","0.02139030396938324","0.3090225160121918","0.3090225160121918","0.3090225160121918"
"10","0.020352404564619064","0.020352404564619064","0.020352404564619064","0.3093738853931427","0.3093738853931427","0.3093738853931427"
"11","0.01938803307712078","0.01938803307712078","0.01938803307712078","0.309702068567276","0.309702068567276","0.309702068567276"
"12","0.018474388867616653","0.018474388867616653","0.018474388867616653","0.30824145674705505","0.30824145674705505","0.30824145674705505"
"13","0.017583997920155525","0.017583997920155525","0.017583997920155525","0.3076664209365845","0.3076664209365845","0.3076664209365845"
"14","0.016715317964553833","0.016715317964553833","0.016715317964553833","0.3090732991695404","0.3090732991695404","0.3090732991695404"
"15","0.01588224247097969","0.01588224247097969","0.01588224247097969","0.306974321603775","0.306974321603775","0.306974321603775"
"16","0.015090063214302063","0.015090063214302063","0.015090063214302063","0.3069373369216919","0.3069373369216919","0.3069373369216919"
"17","0.014332650229334831","0.014332650229334831","0.014332650229334831","0.306243360042572","0.306243360042572","0.306243360042572"
"18","0.013603190891444683","0.013603190891444683","0.013603190891444683","0.3054547607898712","0.3054547607898712","0.3054547607898712"
"19","0.012898685410618782","0.012898685410618782","0.012898685410618782","0.3064180910587311","0.3064180910587311","0.3064180910587311"
"20","0.012215835973620415","0.012215835973620415","0.012215835973620415","0.3051631450653076","0.3051631450653076","0.3051631450653076"
"21","0.011555167846381664","0.011555167846381664","0.011555167846381664","0.3039880692958832","0.3039880692958832","0.3039880692958832"
"22","0.010920457541942596","0.010920457541942596","0.010920457541942596","0.30373892188072205","0.30373892188072205","0.30373892188072205"
"23","0.010301994159817696","0.010301994159817696","0.010301994159817696","0.3021549582481384","0.3021549582481384","0.3021549582481384"
"24","0.009704355150461197","0.009704355150461197","0.009704355150461197","0.3029433488845825","0.3029433488845825","0.3029433488845825"
"25","0.009118478745222092","0.009118478745222092","0.009118478745222092","0.2999494969844818","0.2999494969844818","0.2999494969844818"
"26","0.008546402677893639","0.008546402677893639","0.008546402677893639","0.29919329285621643","0.29919329285621643","0.29919329285621643"
"27","0.008001870475709438","0.008001870475709438","0.008001870475709438","0.29742226004600525","0.29742226004600525","0.29742226004600525"
"28","0.007490191143006086","0.007490191143006086","0.007490191143006086","0.2965816259384155","0.2965816259384155","0.2965816259384155"
"29","0.007018620148301125","0.007018620148301125","0.007018620148301125","0.2958478331565857","0.2958478331565857","0.2958478331565857"
"30","0.0065855360589921474","0.0065855360589921474","0.0065855360589921474","0.2930508852005005","0.2930508852005005","0.2930508852005005"
"31","0.006181252188980579","0.006181252188980579","0.006181252188980579","0.2931183874607086","0.2931183874607086","0.2931183874607086"
"32","0.005801238119602203","0.005801238119602203","0.005801238119602203","0.29186880588531494","0.29186880588531494","0.29186880588531494"
"33","0.005437062121927738","0.005437062121927738","0.005437062121927738","0.2897733747959137","0.2897733747959137","0.2897733747959137"
"34","0.005083824507892132","0.005083824507892132","0.005083824507892132","0.28828349709510803","0.28828349709510803","0.28828349709510803"
"35","0.004755224566906691","0.004755224566906691","0.004755224566906691","0.2831050455570221","0.2831050455570221","0.2831050455570221"
"36","0.004445171914994717","0.004445171914994717","0.004445171914994717","0.28372326493263245","0.28372326493263245","0.28372326493263245"
"37","0.004165905062109232","0.004165905062109232","0.004165905062109232","0.28169751167297363","0.28169751167297363","0.28169751167297363"
"38","0.003907926380634308","0.003907926380634308","0.003907926380634308","0.28054261207580566","0.28054261207580566","0.28054261207580566"
"39","0.0036702174693346024","0.0036702174693346024","0.0036702174693346024","0.2807304859161377","0.2807304859161377","0.2807304859161377"
"40","0.003450985997915268","0.003450985997915268","0.003450985997915268","0.2783508002758026","0.2783508002758026","0.2783508002758026"
"41","0.003243005368858576","0.003243005368858576","0.003243005368858576","0.2776380777359009","0.2776380777359009","0.2776380777359009"
"42","0.003049659077078104","0.003049659077078104","0.003049659077078104","0.27501198649406433","0.27501198649406433","0.27501198649406433"
