"Step","act_calvin_abc_fair - train/l1_loss","act_calvin_abc_fair - train/l1_loss__MIN","act_calvin_abc_fair - train/l1_loss__MAX","act_calvin_b - train/l1_loss","act_calvin_b - train/l1_loss__MIN","act_calvin_b - train/l1_loss__MAX"
"100","0.2826765179634094","0.2826765179634094","0.2826765179634094","0.3193025290966034","0.3193025290966034","0.3193025290966034"
"200","0.1843268722295761","0.1843268722295761","0.1843268722295761","0.16979514062404633","0.16979514062404633","0.16979514062404633"
"300","0.1674855351448059","0.1674855351448059","0.1674855351448059","0.18308056890964508","0.18308056890964508","0.18308056890964508"
"400","0.22798322141170502","0.22798322141170502","0.22798322141170502","0.2591981589794159","0.2591981589794159","0.2591981589794159"
"500","0.2367158681154251","0.2367158681154251","0.2367158681154251","0.23659050464630127","0.23659050464630127","0.23659050464630127"
"600","0.21191519498825073","0.21191519498825073","0.21191519498825073","0.1533963829278946","0.1533963829278946","0.1533963829278946"
"700","0.2069883644580841","0.2069883644580841","0.2069883644580841","0.22250503301620483","0.22250503301620483","0.22250503301620483"
"800","0.15475961565971375","0.15475961565971375","0.15475961565971375","0.2157345563173294","0.2157345563173294","0.2157345563173294"
"900","0.17969095706939697","0.17969095706939697","0.17969095706939697","0.21270111203193665","0.21270111203193665","0.21270111203193665"
"1000","0.20708191394805908","0.20708191394805908","0.20708191394805908","0.20413362979888916","0.20413362979888916","0.20413362979888916"
"1100","0.1951628476381302","0.1951628476381302","0.1951628476381302","0.16142255067825317","0.16142255067825317","0.16142255067825317"
"1200","0.21320003271102905","0.21320003271102905","0.21320003271102905","0.22806614637374878","0.22806614637374878","0.22806614637374878"
"1300","0.18703089654445648","0.18703089654445648","0.18703089654445648","0.2196948230266571","0.2196948230266571","0.2196948230266571"
"1400","0.17302963137626648","0.17302963137626648","0.17302963137626648","0.2399665117263794","0.2399665117263794","0.2399665117263794"
"1500","0.15433962643146515","0.15433962643146515","0.15433962643146515","0.22413155436515808","0.22413155436515808","0.22413155436515808"
"1600","0.2185947746038437","0.2185947746038437","0.2185947746038437","0.18782849609851837","0.18782849609851837","0.18782849609851837"
"1700","0.22988653182983398","0.22988653182983398","0.22988653182983398","0.22268393635749817","0.22268393635749817","0.22268393635749817"
"1800","0.12618577480316162","0.12618577480316162","0.12618577480316162","0.2090683877468109","0.2090683877468109","0.2090683877468109"
"1900","0.192421093583107","0.192421093583107","0.192421093583107","0.20965804159641266","0.20965804159641266","0.20965804159641266"
"2000","0.1596706062555313","0.1596706062555313","0.1596706062555313","0.18140457570552826","0.18140457570552826","0.18140457570552826"
"2100","0.23322898149490356","0.23322898149490356","0.23322898149490356","0.1945810317993164","0.1945810317993164","0.1945810317993164"
"2200","0.14771106839179993","0.14771106839179993","0.14771106839179993","0.21814949810504913","0.21814949810504913","0.21814949810504913"
"2300","0.11281419545412064","0.11281419545412064","0.11281419545412064","0.21800166368484497","0.21800166368484497","0.21800166368484497"
"2400","0.20822234451770782","0.20822234451770782","0.20822234451770782","0.1993780881166458","0.1993780881166458","0.1993780881166458"
"2500","0.17585532367229462","0.17585532367229462","0.17585532367229462","0.19332213699817657","0.19332213699817657","0.19332213699817657"
"2600","0.2734784483909607","0.2734784483909607","0.2734784483909607","0.16324785351753235","0.16324785351753235","0.16324785351753235"
"2700","0.1270020604133606","0.1270020604133606","0.1270020604133606","0.15871818363666534","0.15871818363666534","0.15871818363666534"
"2800","0.20215977728366852","0.20215977728366852","0.20215977728366852","0.24828843772411346","0.24828843772411346","0.24828843772411346"
"2900","0.2731495499610901","0.2731495499610901","0.2731495499610901","0.13949108123779297","0.13949108123779297","0.13949108123779297"
"3000","0.12061348557472229","0.12061348557472229","0.12061348557472229","0.22173888981342316","0.22173888981342316","0.22173888981342316"
