"Step","act_calvin_abc_fair - train/kld_loss","act_calvin_abc_fair - train/kld_loss__MIN","act_calvin_abc_fair - train/kld_loss__MAX","act_calvin_b - train/kld_loss","act_calvin_b - train/kld_loss__MIN","act_calvin_b - train/kld_loss__MAX"
"100","0.3538159132003784","0.3538159132003784","0.3538159132003784","0.30643877387046814","0.30643877387046814","0.30643877387046814"
"200","0.23818746209144592","0.23818746209144592","0.23818746209144592","0.23600371181964874","0.23600371181964874","0.23600371181964874"
"300","0.20217250287532806","0.20217250287532806","0.20217250287532806","0.2044581174850464","0.2044581174850464","0.2044581174850464"
"400","0.19515444338321686","0.19515444338321686","0.19515444338321686","0.1898484230041504","0.1898484230041504","0.1898484230041504"
"500","0.17802438139915466","0.17802438139915466","0.17802438139915466","0.1727372407913208","0.1727372407913208","0.1727372407913208"
"600","0.15283194184303284","0.15283194184303284","0.15283194184303284","0.17498120665550232","0.17498120665550232","0.17498120665550232"
"700","0.1507665067911148","0.1507665067911148","0.1507665067911148","0.15646807849407196","0.15646807849407196","0.15646807849407196"
"800","0.14464102685451508","0.14464102685451508","0.14464102685451508","0.13840952515602112","0.13840952515602112","0.13840952515602112"
"900","0.13587474822998047","0.13587474822998047","0.13587474822998047","0.1381649374961853","0.1381649374961853","0.1381649374961853"
"1000","0.11777444183826447","0.11777444183826447","0.11777444183826447","0.12557047605514526","0.12557047605514526","0.12557047605514526"
"1100","0.12132062762975693","0.12132062762975693","0.12132062762975693","0.13042914867401123","0.13042914867401123","0.13042914867401123"
"1200","0.09281405806541443","0.09281405806541443","0.09281405806541443","0.09934163093566895","0.09934163093566895","0.09934163093566895"
"1300","0.10451358556747437","0.10451358556747437","0.10451358556747437","0.10135972499847412","0.10135972499847412","0.10135972499847412"
"1400","0.10461081564426422","0.10461081564426422","0.10461081564426422","0.09131571650505066","0.09131571650505066","0.09131571650505066"
"1500","0.08491197973489761","0.08491197973489761","0.08491197973489761","0.08857645839452744","0.08857645839452744","0.08857645839452744"
"1600","0.08299093693494797","0.08299093693494797","0.08299093693494797","0.08291508257389069","0.08291508257389069","0.08291508257389069"
"1700","0.0713234394788742","0.0713234394788742","0.0713234394788742","0.07595706731081009","0.07595706731081009","0.07595706731081009"
"1800","0.07394757866859436","0.07394757866859436","0.07394757866859436","0.07189460843801498","0.07189460843801498","0.07189460843801498"
"1900","0.07115721702575684","0.07115721702575684","0.07115721702575684","0.0658181756734848","0.0658181756734848","0.0658181756734848"
"2000","0.0698825865983963","0.0698825865983963","0.0698825865983963","0.06385169923305511","0.06385169923305511","0.06385169923305511"
"2100","0.054812606424093246","0.054812606424093246","0.054812606424093246","0.05551224946975708","0.05551224946975708","0.05551224946975708"
"2200","0.05394689738750458","0.05394689738750458","0.05394689738750458","0.049592405557632446","0.049592405557632446","0.049592405557632446"
"2300","0.05558053031563759","0.05558053031563759","0.05558053031563759","0.049585603177547455","0.049585603177547455","0.049585603177547455"
"2400","0.04424688220024109","0.04424688220024109","0.04424688220024109","0.04351323843002319","0.04351323843002319","0.04351323843002319"
"2500","0.04142472892999649","0.04142472892999649","0.04142472892999649","0.04326503723859787","0.04326503723859787","0.04326503723859787"
"2600","0.034079037606716156","0.034079037606716156","0.034079037606716156","0.034214213490486145","0.034214213490486145","0.034214213490486145"
"2700","0.04256593808531761","0.04256593808531761","0.04256593808531761","0.03923477977514267","0.03923477977514267","0.03923477977514267"
"2800","0.032993383705616","0.032993383705616","0.032993383705616","0.03185055032372475","0.03185055032372475","0.03185055032372475"
"2900","0.030142107978463173","0.030142107978463173","0.030142107978463173","0.033796124160289764","0.033796124160289764","0.033796124160289764"
"3000","0.034845151007175446","0.034845151007175446","0.034845151007175446","0.03192853555083275","0.03192853555083275","0.03192853555083275"
"3100","0.026173539459705353","0.026173539459705353","0.026173539459705353","0.021830877289175987","0.021830877289175987","0.021830877289175987"
"3200","0.025804318487644196","0.025804318487644196","0.025804318487644196","0.025597991421818733","0.025597991421818733","0.025597991421818733"
"3300","0.026971908286213875","0.026971908286213875","0.026971908286213875","0.026911839842796326","0.026911839842796326","0.026911839842796326"
"3400","0.026036901399493217","0.026036901399493217","0.026036901399493217","0.026112999767065048","0.026112999767065048","0.026112999767065048"
"3500","0.023437660187482834","0.023437660187482834","0.023437660187482834","0.022790851071476936","0.022790851071476936","0.022790851071476936"
"3600","0.019226914271712303","0.019226914271712303","0.019226914271712303","0.018576227128505707","0.018576227128505707","0.018576227128505707"
"3700","0.020164210349321365","0.020164210349321365","0.020164210349321365","0.019056905061006546","0.019056905061006546","0.019056905061006546"
"3800","0.01902345009148121","0.01902345009148121","0.01902345009148121","0.02268078923225403","0.02268078923225403","0.02268078923225403"
"3900","0.018070518970489502","0.018070518970489502","0.018070518970489502","0.016943056136369705","0.016943056136369705","0.016943056136369705"
"4000","0.013901859521865845","0.013901859521865845","0.013901859521865845","0.014084173366427422","0.014084173366427422","0.014084173366427422"
"4100","0.012929245829582214","0.012929245829582214","0.012929245829582214","0.016102824360132217","0.016102824360132217","0.016102824360132217"
"4200","0.012934718281030655","0.012934718281030655","0.012934718281030655","0.01301046833395958","0.01301046833395958","0.01301046833395958"
"4300","0.014910837635397911","0.014910837635397911","0.014910837635397911","0.013971230015158653","0.013971230015158653","0.013971230015158653"
"4400","0.013191146776080132","0.013191146776080132","0.013191146776080132","0.012532344087958336","0.012532344087958336","0.012532344087958336"
"4500","0.013693265616893768","0.013693265616893768","0.013693265616893768","0.01355661265552044","0.01355661265552044","0.01355661265552044"
"4600","0.01136101596057415","0.01136101596057415","0.01136101596057415","0.011608673259615898","0.011608673259615898","0.011608673259615898"
"4700","0.013460557907819748","0.013460557907819748","0.013460557907819748","0.013000957667827606","0.013000957667827606","0.013000957667827606"
"4800","0.011201396584510803","0.011201396584510803","0.011201396584510803","0.013858193531632423","0.013858193531632423","0.013858193531632423"
"4900","0.012380460277199745","0.012380460277199745","0.012380460277199745","0.011620713397860527","0.011620713397860527","0.011620713397860527"
"5000","0.011324761435389519","0.011324761435389519","0.011324761435389519","0.010161135345697403","0.010161135345697403","0.010161135345697403"
"5100","0.009637553244829178","0.009637553244829178","0.009637553244829178","0.011362919583916664","0.011362919583916664","0.011362919583916664"
"5200","0.008727872744202614","0.008727872744202614","0.008727872744202614","0.010081656277179718","0.010081656277179718","0.010081656277179718"
"5300","0.010057445615530014","0.010057445615530014","0.010057445615530014","0.007865888997912407","0.007865888997912407","0.007865888997912407"
"5400","0.008998977020382881","0.008998977020382881","0.008998977020382881","0.00797245092689991","0.00797245092689991","0.00797245092689991"
"5500","0.010555652901530266","0.010555652901530266","0.010555652901530266","0.00877775065600872","0.00877775065600872","0.00877775065600872"
"5600","0.009276073426008224","0.009276073426008224","0.009276073426008224","0.008062111213803291","0.008062111213803291","0.008062111213803291"
"5700","0.008809652179479599","0.008809652179479599","0.008809652179479599","0.008731245994567871","0.008731245994567871","0.008731245994567871"
"5800","0.008133476600050926","0.008133476600050926","0.008133476600050926","0.008185969665646553","0.008185969665646553","0.008185969665646553"
"5900","0.008413571864366531","0.008413571864366531","0.008413571864366531","0.007822323590517044","0.007822323590517044","0.007822323590517044"
"6000","0.007752399891614914","0.007752399891614914","0.007752399891614914","0.007083810865879059","0.007083810865879059","0.007083810865879059"
"6100","0.006552139297127724","0.006552139297127724","0.006552139297127724","0.006956797093153","0.006956797093153","0.006956797093153"
"6200","0.008387412875890732","0.008387412875890732","0.008387412875890732","0.00610431469976902","0.00610431469976902","0.00610431469976902"
"6300","0.0059468913823366165","0.0059468913823366165","0.0059468913823366165","0.0072031207382678986","0.0072031207382678986","0.0072031207382678986"
"6400","0.005904471501708031","0.005904471501708031","0.005904471501708031","0.005131931975483894","0.005131931975483894","0.005131931975483894"
"6500","0.00794481486082077","0.00794481486082077","0.00794481486082077","0.005981341004371643","0.005981341004371643","0.005981341004371643"
"6600","0.005322672426700592","0.005322672426700592","0.005322672426700592","0.007973266765475273","0.007973266765475273","0.007973266765475273"
"6700","0.005750153213739395","0.005750153213739395","0.005750153213739395","0.005611522123217583","0.005611522123217583","0.005611522123217583"
"6800","0.0057571809738874435","0.0057571809738874435","0.0057571809738874435","0.006154809147119522","0.006154809147119522","0.006154809147119522"
"6900","0.004906203597784042","0.004906203597784042","0.004906203597784042","0.005908459424972534","0.005908459424972534","0.005908459424972534"
"7000","0.004854770377278328","0.004854770377278328","0.004854770377278328","0.005871014669537544","0.005871014669537544","0.005871014669537544"
"7100","0.005144122987985611","0.005144122987985611","0.005144122987985611","0.006160935387015343","0.006160935387015343","0.006160935387015343"
"7200","0.005200153216719627","0.005200153216719627","0.005200153216719627","0.004988156259059906","0.004988156259059906","0.004988156259059906"
"7300","0.004493214190006256","0.004493214190006256","0.004493214190006256","0.005163291469216347","0.005163291469216347","0.005163291469216347"
